,"neutral,""According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing ."""
3524,"neutral,""Among other industrial stocks , Metso added 0.53 pct to 40.04 eur , Wartsila B was down 0.77 pct at 47.87 eur and Rautaruukki K was 1.08 pct lower at 37.56 eur ."""
3525,"neutral,""Among paper issues , Stora Enso R was little changed -- up 0.08 pct at 12.03 eur , UPM-Kymmene was 0.48 pct higher at 18.77 eur and M-real B added 0.50 pct to 3.99 eur ."""
3526,"neutral,An Android app will be coming soon ."
3527,"neutral,An Apple spokeswoman said the company declined to comment ."
3528,"neutral,Analysts surveyed by Thomson Financial expected revenue of $ 69 million for the quarter ."
3529,"neutral,Around 250 of these reductions will be implemented through pension arrangements ."
3530,"neutral,Around 50 percent of the world 's ro-ro fleet is over 25 years old and needs to be scrapped for environmental reasons ."
3531,"neutral,As a consequence of the merger the number of administration personnel at the factories will be reduced by six ."
3532,"neutral,""As a result , the number of personnel in Finland will be reduced by 158 ."""
3533,"negative,As a result some 20 persons will no longer be needed ."
3534,"neutral,""As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat ."""
3535,"neutral,""As part of the transaction , the +_+Ænekoski paper mill remained in M-real 's ownership and continued Galerie Art production for Sappi under a long-term contract ."""
3536,"positive,""ASPO Plc STOCK EXCHANGE ANNOUNCEMENT May 4 , 2006 at 10:00 a.m. An increase in the share capital of Aspo Plc totaling EUR 1,125.60 was registered today ."""
3537,"neutral,Aspo 's Group structure and business operations are developed persistently without any predefined schedules ."
3538,"neutral,""Aspocomp Group , headquartered in Helsinki , Finland , develops interconnection solutions for the electronics industry ."""
3539,"neutral,""Based in Helsinki , Finland , Ramirent has branches in 13 Nordic , central and Eastern European countries ."""
3540,"neutral,""Based on the 2005 calendar year the combined company had EUR15 .8 bn in pro forma annual revenues and is expected to start operations with 60,000 employees ."""
3541,"neutral,""BAVARIA Industriekapital AG 's 2006 revenues were EUR 333 million , with an EBITDA of EUR 51 million ."""
3542,"negative,""Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel ."""
3543,"neutral,BM4 middle layer headbox will be equipped with a dilution control system ."
3544,"neutral,Boomerang Boats had net sales of EUR 4.1 mn and it made an operating profit of EUR 0.4 mn in 2006 ."
3545,"neutral,""By the end of 2006 , the number of joint branch offices will total 170 ."""
3546,"neutral,Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices ."
3547,"neutral,""CapMan , the Stockholm-headquartered private equity firm , has held a first close on its second private equity real estate fund as it continues its push into the property sector ."""
3548,"neutral,Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR ."
3549,"neutral,""Cargotec 's sales totalled EUR 3.4 billion in 2008 and it employs approximately 11,000 people ."""
3550,"neutral,Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg ."
3551,"neutral,""Citigroup , Inc NYSE : C , Deutsche Bank NYSE : DB and Pohjola Bank are lead managers for the sale ."""
3552,"neutral,Coffee will be served starting at 14:30 EET as well as after the event ."
3553,"neutral,Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million ."
3554,"neutral,""Combined with the Basware Enterprise Purchase to Pay portfolio , it provides a high level of automation for procurement and invoice workflows ."""
3555,"neutral,""Commenting on the deal , Shane Lennon , SVP of Marketing & Product Development at GyPSii said : ?"""
3556,"positive,""Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target ."""
3557,"neutral,""Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007 ."""
3558,"neutral,Componenta will also offer a five-year subordinated loan for subscription by the public ."
3559,"neutral,CS Cabot 's main consumers on the Czech and Slovak market are tires producers Barum Continental and Matador Continental ."
3560,"neutral,Curators have divided their material into eight themes ."
3561,"neutral,""Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market ."""
3562,"neutral,""Currently , the company uses eight similar reach stackers and four empty container handlers by Konecranes ."""
3563,"neutral,Currently Alfred A Palmberg is putting the finishing touches to one of Finland 's biggest ever re-plumbing and bathroom refurbishment projects also in the district of Vuosaari ."
3564,"neutral,""Currently Glaston employs approximately 1,500 persons ."""
3565,"neutral,""Currently it operates a fleet of eight carriers , as well as nine pushers and barges ."""
3566,"neutral,Customers include hotels and restaurants as well as wholesalers and some retailers ."
3567,"neutral,""Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems ."""
3568,"neutral,Deliveries will start in the second half of 2007 and the start-up of the mill is scheduled for 2008 ."
3569,"neutral,Delivery is expected to take place later this month ."
3570,"neutral,""Deutsche Beteiligungs , as well as a private equity fund it manages , first bought 75 % of MCE in a secondary buyout from White Plains , N.Y. , financial investor Andlinger & Co. in 2007 ."""
3571,"neutral,Earnings per share EPS in 2005 amounted to a loss of EUR1 .26 ."
3572,"neutral,Earnings per share EPS in the first quarter amounted to a loss of EUR0 .20 ."
3573,"neutral,""Economic development in China is no longer taking place only on the East coast and in the Shanghai area , Vauramo says ."""
3574,"neutral,""Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 ."""
3575,"neutral,Elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter ."
3576,"neutral,""Elcoteq 's global service offering covers the entire lifecycle of products , from product development to after-market services ."""
3577,"neutral,""ENP Newswire - 22 March 2011 Release date - 21032011 - A total of 13,000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between 1 January 2011 and 28 February 2011 under the company 's stock option rights 2007A ."""
3578,"neutral,""EQ Bank forecasts Olvi 's net sales at EUR 67mn in the second quarter of 2009 , and operating profit at EUR 6.4 mn ."""
3579,"neutral,""Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital ."""
3580,"neutral,EUR 152.4 mn of this was net interest income ."
3581,"neutral,""Exel 's board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19 , 2007 ."""
3582,"neutral,Financing of the project will come mainly from China ."
3583,"neutral,Finnish component supplier Componenta Corporation OMX Helsinki : CTH1V said on Monday 16 June that it is changing its pricing cycle due to the increase of raw material prices ."
3584,"neutral,Finnish construction company YIT HEL : YTY1V said it had agreed to take over German facility engineering and facility systems firm Caverion for EUR73m USD90 .3 m ."
3585,"neutral,Finnish fibers and plastics producer Suominen Corporation OMX Helsinki : SUY1V reported on Wednesday 22 October an operating loss of EUR0 .8 m on net sales of EUR55 .2 m for the third quarter of 2008 ."
3586,"neutral,""Finnish Neste Oil that was previously on the list , has fallen off the list completely ."""
3587,"neutral,Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V said on Wednesday 17 September that it will invest EUR6m in its sensor wafer business during 2009 ."
3588,"neutral,""Finnish silicon wafers maker Okmetic Oyj said on September 17 , 2008 that it will invest a total of 15 mln euro $ 21.3 mln in its sensor wafer business ."""
3589,"negative,Finnish sports equipment company Amer Sports said it has decided to lay off 370 workers from its Salomon division in France ."
3590,"neutral,""Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation ."""
3591,"neutral,""Fiskars R , founded in 1649 , is one of the oldest companies in the world and is the largest manufacturer of lightweight stainless steel scissors in the U.S. ."""
3592,"neutral,""FL Group 's private equity division manages all operating companies , including Icelandair Group , FL Travel Group , Bluebird and Sterling ."""
3593,"neutral,""Following the acquisitions , Panostaja will establish a new business unit which will focus on heat treatment of metals ."""
3594,"neutral,""Following the demerger , the vice president of the group 's pharmaceutical trade in Finland , Jukka Niemi , will be appointed managing director of Oriola in addition to his current responsibilities ."""
3595,"neutral,""Following the divestment , Fiskars 's Outdoor unit will comprise the brands Gerber , Silva and Buster , and will focus on multi-tools , knives , compasses , mobile lighting , pedometers , and aluminium boats ."""
3596,"neutral,""Following the issue , the number of shares in the Swedish company will grow by 9 % ."""
3597,"neutral,""Following the transaction , Tulikivi restructured its operations into the Soapstone Fireplaces Business , Natural Stone Product Business and Ceramic Products Business units ."""
3598,"neutral,""For 2009 , net profit was EUR 3 million and the company paid a dividend of EUR 1.30 apiece ."""
3599,"neutral,""For 2009 , net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece ."""
3600,"neutral,Fortum is now considering taking part in nuclear energy projects outside of Finland ."
3601,"neutral,""From 2003 on , the emphasis of Kyro 's strategy has been on Glaston 's growth ."""
3602,"neutral,""Garmin fell 4.5 percent to $ 34.53 at 1:33 p.m. in New York , while Google slid 0.7 percent at $ 576.50 ."""
3603,"neutral,GE is building the facility with wind power developer Invenergy Wind LLC ."
3604,"neutral,""Glaston , headquartered in Tampere , Finland , is a growing and international glass technology company ."""
3605,"neutral,Group net sales in the third quarter of 2007 totaled EUR 142.3 mn and operating profit EUR 4.3 mn ."
3606,"neutral,""GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE ."""
3607,"neutral,""GUANGDONG , October 26 , SinoCast -- Nokia Telecommunications Dongguan branch entered into a letter of intent to open a Nokia Class in Qingyuan Polytechnic , Qingyuan City of Guangdong Province ."""
3608,"neutral,""He joins Technopolis from KONE where he has held various positions within the Group , most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations ."""
3609,"neutral,High winds also toppled three semi-trailers on I-15 north of Barstow ."
3610,"neutral,HK Ruokatalo 's target is to know the consumers ."
3611,"neutral,""Honkarakenne 's customer in this project is one of the biggest real estate companies in Kazakhstan , according to the company ."""
3612,"neutral,""However , the production is almost entirely very labor intensive and based on small investments only ."""
3613,"positive,""In 2006 , the company intends to invest significantly in expanding its distribution and maintenance network ."""
3614,"neutral,""In 2007 , Etteplan had turnover of EUR125 .2 m."""
3615,"neutral,""In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees ."""
3616,"neutral,In 2007 Etteplan reported a turnover of EUR125 .2 m."
3617,"neutral,""In 2008 , AVC Systemhaus had net sales of EUR 10 million USD 7.1 m ."""
3618,"neutral,In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover ."
3619,"neutral,""In 2010 , Sanoma Magazines expects net sales to be at the 2009 level ."""
3620,"neutral,""In addition , the company is considering the start of production in Russia ."""
3621,"negative,""In addition , the company will reduce a maximum of ten jobs ."""
3622,"neutral,""In addition , the Kazakh delegation will visit Finland 's SITRA investment fund , Honkarakenne Ltd and Nokia headquarters to study TeliaSonera Ltd JSC 's activities ."""
3623,"neutral,""In addition to its stake in MegaFon , Telecominvest currently owns 100 % of shares in Web Plus and St. Petersburg Payphones , 51 % in telecom equipment producer Peter-Servis and a number of other minor assets ."""
3624,"positive,""In addition to Russia , we now seek additional growth in Ukraine ."""
3625,"neutral,""In addition to software development , the new design unit will provide for mechanical engineering and electronics design ."""
3626,"neutral,""In addition to verification of an identity and digital signatures , new state-approved Mobile ID enables to cast votes in elections as well ."""
3627,"neutral,""In April 2010 , Olvi 's range of ciders will expand with a strawberry-rhubarb and an apple-pear cider in green bottles with a new shape ."""
3628,"neutral,""In April-June 2008 , Scanfil 's net sales totalled EUR 58.7 mn and operating profit EUR 6.6 mn ."""
3629,"positive,""In banking , Sampo A was unchanged at 14.24 eur and Nordea rose 0.42 pct to 9.51 eur ."""
3630,"neutral,""In Finland , Alma Media will focus on quality and developing chain operations ."""
3631,"neutral,""In Finland , the five largest brands control 90 % of the beer market ."""
3632,"negative,in Finland Finnish pharmaceutical company Orion Corporation OMX Helsinki : ORNAV said on Wednesday 7 January that it has concluded its personnel negotiations in Finland and will reduce the number of personnel by 205 ."
3633,"neutral,In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co. ."
3634,"neutral,""In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent ."""
3635,"neutral,In Sweden the agreement covers data communication services as well ."
3636,"neutral,""In the automobile space , Maruti is the most searched brand in cars ."""
3637,"positive,""In the autumn , it plans to expand service to St. Petersburg and Moscow and launch service to Yekaterinburg , Russia , flying there three times a week ."""
3638,"neutral,""In the beginning of the negotiations , the estimated number of reductions was 50 at the maximum ."""
3639,"neutral,""In the Czech Republic , the profiling unit at Ostrava will be closed and the machinery will be relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 ."""
3640,"neutral,""In the Czech Republic , the smaller profiling unit at Ostrava will be closed and the machinery will be gradually relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 ."""
3641,"neutral,""In the first quarter of 2008 , Sacanfil 's net sales totalled EUR 50.0 mn and its operating profit EUR 4.7 mn ."""
3642,"neutral,""In the third quarter of 2007 , net sales totaled EUR 25.95 mn , and operating profit EUR 3.88 mn ."""
3643,"neutral,""Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , is acquiring the manufacturing unit of the TVS Electronic Ltd at Tumkur , near Bangalore , for Rs40 crore ."""
3644,"neutral,Inha Works has invested in its product development and market research ."
3645,"neutral,""It comes complete with an LCD touch screen system for selection of your chosen function and prices start at around the pounds 4,805 mark ."""
3646,"neutral,""It grew in Finland , Norway , Denmark and the Baltic countries ."""
3647,"neutral,It includes options for additional 30 communal building sites as well as construction supervision works for all construction sites ."
3648,"neutral,""It is being developed by Symbian , the software licensing consortium led by Nokia ."""
3649,"neutral,It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 ."
3650,"neutral,It is the first application in the market for invoice and purchase requisition approval with a mobile device ."
3651,"neutral,""It now owns 80,565 shares in Amer Sports Corporation , equaling 0.11 % of the company 's share capital and voting rights ."""
3652,"neutral,It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 ."
3653,"neutral,Ixonos will finance the acquisition through a 3.8 mln euro $ 5.2 mln loan ."
3654,"neutral,J+Ærvi-Suomen Portti is also planning to reduce the use of sodium nitrite ."
3655,"neutral,""Karachi , Sept. 14 -- Ixonos , a world leader in the development and integration of solutions for handheld devices , announced that it is implementing a touch screen mobile user interface solution for the Intel Atom processor Z6xx based smartphones ."""
3656,"neutral,Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year ."
3657,"neutral,""Kemira 's R&D organization comprises approximately 750 people , the company said ."""
3658,"negative,""Konecranes has previously communicated an estimated reduction of about 1,600 employees on group level in 2009 ."""
3659,"neutral,L&T also acquired a 50 pct stake in local sector company Salvor Oy at the beginning of September 2007 ."
3660,"neutral,""Laavainen said Benecol was well known in Europe and the US , where it had been in the market for 15 years ."""
3661,"neutral,""Latin America currently accounts for approximately 40 % of sales at Tecnotree , company president and CEO Eero Mertano recently told BNamericas ."""
3662,"positive,Latvenergo has ordered a significant expansion to the Tekla Xpower network information system ."
3663,"neutral,""LCS 's services cover the whole life cycle of software and information systems , from process modelling and tailored software development , to hosting services , solution management , maintenance and support ."""
3664,"positive,Lemcon has also signed a pre-contract for the purchase of the park 's entire 130-hectare site ."
3665,"neutral,Lieksaare Oy has earlier been regarded under the control of Saarelainen Oy and the individual shareholders under the shareholder agreement ."
3666,"neutral,""Liquid handling products include electronic and mechanical pipettes , disposable tips as well as pipette maintenance and calibration services for research institutions , healthcare and industrial laboratories ."""
3667,"neutral,""ADP News - Jan 13 , 2009 - Finnish industrial and environmental measurement equipment maker Vaisala Oyj OMX : VAIAS said yesterday it will develop an operational reference radiosonde for climate change observations ."""
3668,"neutral,""ADPnews - Dec 23 , 2009 - Norwegian financial services group SpareBank 1 Gruppen AS OSL : SBGRP said its board of directors appointed today Jarle Haug managing director of its claims collection subsidiary SpareBank 1 Gruppen Finans"""
3669,"neutral,M+Ækel+Æ is demanding a new Board for the company as well as discussions on the merger of Alma media and media company Talentum ."
3670,"neutral,Marathon estimates the value of its remaining stake in Protalix at $ 27 million ."
3671,"neutral,Margin call of Zanadvorov has given the chance to make such purchase under the credit of Deutsche Bank for USD 560 million ."
3672,"neutral,Marimekko is considering further measures in the matter ."
3673,"neutral,Marketing will use Tikkurila 's existing infra structure and local knowledge in Russia ."
3674,"neutral,""Metsaliitto will sell 1.1 million B shares of Neomarkka , accounting for about 18.3 pct of Neomarkka 's equity and about 12.7 pct of the voting rights ."""
3675,"neutral,""Moreover , Konecranes and Kito intend to transfer the hoist distribution business of Konecranes ' Japanese joint venture MHS Konecranes to Kito ."""
3676,"neutral,""Most of the growth in beer consumption took place in the Far East , Latin America and Africa ."""
3677,"neutral,""Most of the new substations support EDGE technology , which enables faster data traffic ."""
3678,"neutral,""Most of the raw materials come from Europe and the US and are paid in euros or US dollars , while sales take place in rubles ."""
3679,"neutral,""Most recently , he founded Virent Energy Systems , Inc. , an 80 person catalytic biofuels company , where , as president and CEO , he led the company through multiple financings , defined the company 's market strategy , and secured the company 's first customers ."""
3680,"neutral,""Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group ."""
3681,"neutral,""Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share ."""
3682,"neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec ."
3683,"neutral,Mr K.R. Vasantha has been appointed Managing Director of Incap Contract Manufacturing Services Pvt. Ltd. ."
3684,"neutral,Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 ."
3685,"neutral,Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 ."
3686,"neutral,""Mr. McDonald started the evening with his own set , featuring hits from his solo career and his Doobie Brothers years and a selection of R&B cover songs that met with mixed results ."""
3687,"neutral,""M-real Corporation Stock Exchange Announcement 29 September 2006 at 4.15 p.m. Kyro Corporation and M-real Corporation , a Metsaliitto Group subsidiary , have agreed on an arrangement which gives M-real option to purchase the Kyroskoski natural gas powerplant from Kyro ."""
3688,"neutral,M-real plans to discontinue production of standard coated fine paper in the Hallein and Gohrsm++hle mills ."
3689,"neutral,Neste Oil will offer outplacement services to the 111 employees to be reduced ."
3690,"neutral,News Corp. 's MySpace.com Web site will display submissions for the expanded Broadband Emmy Awards as part of an effort to identify aspiring video artists ."
3691,"neutral,Niam offer financial investors a high return via investments in funds that in turn invest in all types of properties ."
3692,"neutral,No changes regarding the Virala Oy Ab s ownership of shares of Tiimari has taken place ."
3693,"neutral,No financial details of the deployment were disclosed ."
3694,"neutral,No financial or pricing details were disclosed ."
3695,"neutral,No planned closing date was provided ."
3696,"neutral,No service pricing details were disclosed ."
3697,"neutral,""Nordea Bank AB publ holds 6.000 Alma Media shares , representing 0.008 % of share capital and voting rights ."""
3698,"neutral,Nordea Pankki Suomi Oyj 's ownership in Stonesoft Corporation has decreased below 1-20 ."
3699,"neutral,Nordea will coordinate the syndicated loan ."
3700,"neutral,Nordstjernan has used its option to buy another 22.4 % stake of Salcomp 's shares and votes ."
3701,"neutral,N-Viro operates processing facilities independently as well as in partnership with municipalities ."
3702,"neutral,""Okmetic closed its plant in Espoo in early 2004 , and all production lines from the site were moved to Okmetic 's plants in Vantaa , Finland and Texas , USA ."""
3703,"neutral,""Okmetic has a global customer base and sales network , production plants in Finland and the US and contract manufacturers in Japan and China ."""
3704,"neutral,""On preliminary estimate , the hotel will operate under the brand Novotel ."""
3705,"neutral,One of the largest projects of the magazine division of SanomaWSOY - Sanoma Magazines International in 2006 became launch of the Russian magazine Gloriya ."
3706,"neutral,""Operating profit of operations in Finland in the period under review totaled EUR 11.3 mn , remaining at the 2005 level ."""
3707,"neutral,OP-Pohjola Group 's capital adequacy ratio under the Act on Credit Institutions stood at 12.1 % and Tier 1 ratio at 12.1 % ."
3708,"neutral,""Our customers include companies in the energy and process industry sectors , in particular ."""
3709,"neutral,""Our key geographical markets are Europe , Russian Federation , Middle-East , South-Africa and Japan ."""
3710,"neutral,Our tools are specifically designed with the needs of both the business users and ICT experts in mind ."
3711,"neutral,""Outotec 's delivery covers the engineering , supply and construction of a circulating fluid bed calcination plant with a capacity of 1,600 tons of alumina per day ."""
3712,"neutral,""OVA Press has a 60 % stake in the joint venture , while IMSM holds a 40 % stake ."""
3713,"neutral,""Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 ."""
3714,"neutral,""Panostaja Plc today acquired the entire share capital of Suomen Graafiset Palvelut Ltd , a provider of printing services ."""
3715,"neutral,""Paper company M-real calculated that if 100,000 biscuit cartons are made using a 25gsm lighter board , the CO2 saved over the course of 12 months would be equal to that generated by driving 1,000 km by car ."""
3716,"negative,""Paper stocks were among the biggest fallers , with Stora Enso down 2.30 pct to 14.01 eur , M-real down 2.86 pct to 5.09 eur and UPM-Kymmene 1.14 pct lower at 19.10 eur ."""
3717,"neutral,Part of the reductions will be made through retirement arrangements ."
3718,"neutral,""Payment for acquired shares will be made in cash , and the price per share will be EUR 1 plus an administration fee ."""
3719,"neutral,""pct lower at 4,442.10 ."""
3720,"neutral,Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic ."
3721,"neutral,Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy ."
3722,"neutral,Pharmaceutical market in Netherlands Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Netherlands ."
3723,"neutral,""Previously , it projected the figure to be slightly lower than in 2009 ."""
3724,"neutral,""Previously , the company expected its 2008 financial performance to remain at the same level as in 2008 ."""
3725,"neutral,Profit after taxes totaled EUR 12.1 mn ."
3726,"neutral,QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version ; QPR ProcessGuide Xpress ."
3727,"neutral,""Quartal Oy now owns 2,094,063 shares in Satama Interactive Plc , which represents 5,19 per cent of the share capital and voting rights ."""
3728,"neutral,Renesas Mobile Europe Ltd has approximately 470 employees in Oulu ."
3729,"neutral,Rihko said the sale will enable the company to concentrate on its grain-based business ."
3730,"neutral,Rihko started to manage Raisio 's Benecol business in summer 2006 after heading tobacco company Altadis ' European operations ."
3731,"neutral,RIM has revamped the BlackBerry OS UI with the 6.0 version of the mobile operating system ."
3732,"neutral,Rimi supermarket is the key customer in Magistral center ."
3733,"neutral,""Rimvesta is now controlled by the Estonian-owned real estate development company ELL Nekilnojamas Turtas , which a member of Merko , the largest construction group in the Baltic countries ."""
3734,"neutral,""Risto Raty , Tekla 's executive vice president , said that Tekla Structures and ArchiCAD will cover the entire design and documentation workflow throughout a construction project ."""
3735,"neutral,""Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia ."""
3736,"neutral,Rosa is one of the best-known Duckburg illustrators ."
3737,"neutral,RSA 's shares closed at 156.9 p at the time of going to press ."
3738,"neutral,Rubin says he expects Capman to announce 1-2 additional transactions in 2009 ."
3739,"neutral,Russia 's Video International Group holds a controlling stake in Russian Media Ventures ."
3740,"neutral,""'s Outokumpu Technology business will begin trading on the Nordic Exchange in Helsinki starting Oct. 10 , becoming the sixth company to list on that exchange this year , the company said Friday ."""
3741,"positive,""Salo , Finland , 29 August 2006 - Benefon has today announced its plans to further strengthen its in-house technology platform , by licensing the complete mobile software platform , Opna , from its long-standing technology partner , Pollex ."""
3742,"neutral,""Sampo Group that has become a major shareholder in Nordea owns TrygVesta 's main competitor , If P & C Insurance ."""
3743,"neutral,Scanfil holdings include 100 % of contract electronics manufacturer Scanfil EMS Group ."
3744,"neutral,""Since the registration of the shares subscribed in a directed share issue , the new number of Panostaja shares and voting rights is 41,733,110 ."""
3745,"neutral,""Stora Enso 's business in North America has annual capacity of about 3 million tons and employs about 4,350 people ."""
3746,"neutral,Stora Enso will receive a 19.9 pct equity interest in the combined company ."
3747,"neutral,Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 ."
3748,"neutral,Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas ."
3749,"positive,Strand Associates is expanding its Madison corporate headquarters with space to add about 100 employees to the engineering firm ."
3750,"neutral,Talentum acquired a 47.5 pct stake in Varesvuo Partners in 1997 and the remaining in 2002 and 2005 ."
3751,"neutral,""Technopolis , St. Petersburg 's Telecommunications University and the Russian Support Fund for Legislative Initiatives signed a protocol of intent in May of this year to set up a technopark in St. Petersburg on the base of the St. Petersburg Telecommunications University ."""
3752,"neutral,""Technopolis has Finnish operations in Oulu , Vantaa , Espoo , Lappeenranta , Jyvaskyla and Tampere and is also preparing to expand its operations to Russia ."""
3753,"neutral,""Technopolis has set aside a plot of land measuring 4.6 hectares to build the park , Mikkonen said ."""
3754,"neutral,Tekla Group 's net sales for 2006 were approximately 50 million euros and operating result 13.6 million euros ."
3755,"neutral,Teleste expects to start the deliveries at the end of 2009 ."
3756,"neutral,""Thanks to its extensive industry and operations experience , Cybercom offers strategic and technological expertise to these markets : telecom , industry , media , public sector , retail , and banking and financial services ."""
3757,"neutral,""That address also happens to house Italian megamart Eataly , meaning that `` Come on , kids , we 're going to the Toy Building ! ''"""
3758,"neutral,""The 3C Expo is a signature show in Dongguan , which is supported by the Dongguan Municipal Government every year , featuring computer accessories , software , communication and network products ."""
3759,"neutral,""The acquired business main asset is a mobile authentication and signing solution , branded as Tectia MobileID , which provides authentication to web e-mail , SSL-VPN , MS SharePoint , Tectia Secure Solutions and other applications and resources ."""
3760,"neutral,The acquisition is part of Ramirent 's Central and Eastern European growth strategy ."
3761,"positive,The acquisition is part of Ramirent 's strategy to strengthen its position in selected locations ."
3762,"neutral,The agreement includes application maintenance and support services ."
3763,"neutral,The agreement includes the entire process of managing Mercator 's supply chain in all regions where the company is currently present ."
3764,"neutral,""The Americas represents 25 % of Gemalto 's billing , and Latin America is one of the fastest growing regions for the company ."""
3765,"neutral,The annual value of the contracts is estimated at USD 2mn over the next three years ."
3766,"neutral,""The area will also include some central buildings , and Honkarakenne has started negotiations on their delivery ."""
3767,"neutral,""The bank also expects additional costs , related to the Dash 8 - Q400 jets , which the group shelved in October 2007 ."""
3768,"neutral,The bank 's leasing arm Nordea Liising ended the year with a profit of 4.4 million euros ."
3769,"neutral,""The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition , the Board decided to appoint a Nomination Committee at a later stage ."""
3770,"neutral,""The bond , with a maturity of five years , is part of the bank 's domestic bond program ."""
3771,"neutral,The bridge is part of the highway 14 development project ."
3772,"neutral,The building will house product development and test laboratories ."
3773,"neutral,The business area 's net sales were slightly over 2m in 2006 ."
3774,"neutral,The business development initiatives in North America are headed by Lynn Shanahan ."
3775,"neutral,""The business is organised , as of February 1 , 2011 , in a way that production of design services is combined into one entity , Etteplan Operations ."""
3776,"neutral,""The business transfer will take effect from 1 January 2007 , and in connection with this 47 employees will transfer from Elisa to Daxtum as continuing employees ."""
3777,"neutral,The center will be built in the Kapuli district of Mantsala beside the Hanko-Mantsala-Porvoo road near the new direct rail link between Lahti and Jarvenpaa ."
3778,"neutral,The changes in readership were not significant ."
3779,"neutral,The closing of such transaction took place today ."
3780,"neutral,""The closing of the transaction is scheduled to take place on January 10 , 2008 ."""
3781,"neutral,The combined capital of these funds is expected to be EUR 100mn-150mn ."
3782,"neutral,The combined company had pro-forma net sales of 140 mln euro $ 188.9 mln and an operating profit of 13 mln euro $ 17.5 mln for 2006 ."
3783,"neutral,""The commission found evidence of several meetings to discuss the cartel , including one in a Brussels restaurant in November 1997 at which the companies discussed price increases ."""
